,filename,size,resolution,block_threshold,non_traffic_threshold,seed
0,./kart/evaluering/000.png,32,0.25,0.5,0.0,191664963
1,./kart/evaluering/001.png,32,0.25,0.125,-0.125,1662057957
2,./kart/evaluering/002.png,32,0.25,0.25,-0.25,1405681631
3,./kart/evaluering/003.png,32,0.25,0.125,-0.25,942484272
4,./kart/evaluering/004.png,32,0.125,0.5,0.0,929893137
5,./kart/evaluering/005.png,32,0.125,0.125,-0.125,1843824992
6,./kart/evaluering/006.png,32,0.125,0.25,-0.25,184566854
7,./kart/evaluering/007.png,32,0.125,0.125,-0.25,1497586438
8,./kart/evaluering/008.png,64,0.25,0.5,0.0,432652533
9,./kart/evaluering/009.png,64,0.25,0.125,-0.125,202244314
10,./kart/evaluering/010.png,64,0.25,0.25,-0.25,1130604997
11,./kart/evaluering/011.png,64,0.25,0.125,-0.25,2095133045
12,./kart/evaluering/012.png,64,0.125,0.5,0.0,1580016183
13,./kart/evaluering/013.png,64,0.125,0.125,-0.125,1634535062
14,./kart/evaluering/014.png,64,0.125,0.25,-0.25,1540770719
15,./kart/evaluering/015.png,64,0.125,0.125,-0.25,1688060240
16,./kart/evaluering/016.png,128,0.25,0.5,0.0,1102145672
17,./kart/evaluering/017.png,128,0.25,0.125,-0.125,275121930
18,./kart/evaluering/018.png,128,0.25,0.25,-0.25,1803345590
19,./kart/evaluering/019.png,128,0.25,0.125,-0.25,967196436
20,./kart/evaluering/020.png,128,0.125,0.5,0.0,1074497555
21,./kart/evaluering/021.png,128,0.125,0.125,-0.125,796282693
22,./kart/evaluering/022.png,128,0.125,0.25,-0.25,392022359
23,./kart/evaluering/023.png,128,0.125,0.125,-0.25,1990212658
24,./kart/evaluering/024.png,256,0.25,0.5,0.0,1678403330
25,./kart/evaluering/025.png,256,0.25,0.125,-0.125,1382689815
26,./kart/evaluering/026.png,256,0.25,0.25,-0.25,864178266
27,./kart/evaluering/027.png,256,0.25,0.125,-0.25,1766867109
28,./kart/evaluering/028.png,256,0.125,0.5,0.0,1171300112
29,./kart/evaluering/029.png,256,0.125,0.125,-0.125,952224740
30,./kart/evaluering/030.png,256,0.125,0.25,-0.25,967354524
31,./kart/evaluering/031.png,256,0.125,0.125,-0.25,487991438
32,./kart/evaluering/032.png,64,0.125,0.5,0.0,197860368
33,./kart/evaluering/033.png,128,0.25,0.125,-0.125,1190961760
34,./kart/evaluering/034.png,64,0.25,0.125,-0.25,1906728918
35,./kart/evaluering/035.png,128,0.25,0.25,-0.25,137046513
36,./kart/evaluering/036.png,32,0.125,0.5,0.0,1843166518
37,./kart/evaluering/037.png,64,0.25,0.5,0.0,1777324407
38,./kart/evaluering/038.png,32,0.25,0.5,0.0,594336917
39,./kart/evaluering/039.png,256,0.25,0.25,-0.25,1356488967
40,./kart/evaluering/040.png,128,0.25,0.125,-0.25,354826746
41,./kart/evaluering/041.png,256,0.25,0.125,-0.125,1627981024
42,./kart/evaluering/042.png,32,0.125,0.125,-0.25,1504361614
